id,code,accounting_id,name,initial_balance,final_balance,debit_movement,credit_movement,third_party_type_id,third_party_id,year,month
113,1.301,1301,Clientes,0.0,5549501.0,5549501.0,0.0,Contact,42,2024,2
114,1.301,1301,Clientes,0.0,529500.0,529500.0,0.0,Contact,80,2024,2
115,1.301,1301,Clientes,0.0,467736.42,467736.42,0.0,Contact,138,2024,2
116,1.301,1301,Clientes,0.0,-5100000.0,0.0,5100000.0,Contact,142,2024,2
117,1.301,1301,Clientes,0.0,5594445.0,5594445.0,0.0,Contact,142,2024,2
118,1.301,1301,Clientes,0.0,7196100.0,7196100.0,0.0,Contact,145,2024,2
119,1.408,1408,Mercancías no fabricadas por la empresa,0.0,-20000.0,0.0,20000.0,Contact,1,2024,2
120,1.408,1408,Mercancías no fabricadas por la empresa,0.0,-55769.230769,0.0,55769.230769,Contact,13,2024,2
121,1.408,1408,Mercancías no fabricadas por la empresa,0.0,-122121.0,0.0,122121.0,Contact,34,2024,2
122,1.408,1408,Mercancías no fabricadas por la empresa,0.0,450000.0,450000.0,0.0,Contact,71,2024,2
123,1.408,1408,Mercancías no fabricadas por la empresa,0.0,-50000.0,0.0,50000.0,Contact,80,2024,2
124,1.408,1408,Mercancías no fabricadas por la empresa,0.0,2273000.0,2273000.0,0.0,Contact,105,2024,2
125,1.408,1408,Mercancías no fabricadas por la empresa,0.0,100000.0,100000.0,0.0,Contact,114,2024,2
126,1.408,1408,Mercancías no fabricadas por la empresa,0.0,122124.0,122124.0,0.0,Contact,117,2024,2
127,1.408,1408,Mercancías no fabricadas por la empresa,0.0,-428621.0,0.0,428621.0,Contact,138,2024,2
128,1.408,1408,Mercancías no fabricadas por la empresa,0.0,-212501.0,0.0,212501.0,Contact,142,2024,2
129,1.408,1408,Mercancías no fabricadas por la empresa,0.0,-210000.0,0.0,210000.0,Contact,145,2024,2
130,1.413,1413,Servicios,0.0,-1.0,0.0,1.0,Contact,34,2024,2
131,1.413,1413,Servicios,0.0,-5352002.0,0.0,5352002.0,Contact,42,2024,2
132,1.413,1413,Servicios,0.0,-470000.0,0.0,470000.0,Contact,80,2024,2
133,1.413,1413,Servicios,0.0,150000.0,150000.0,0.0,Contact,105,2024,2
134,1.413,1413,Servicios,0.0,-309000.0,0.0,309000.0,Contact,138,2024,2
135,1.413,1413,Servicios,0.0,-5100001.0,0.0,5100001.0,Contact,142,2024,2
136,1.413,1413,Servicios,0.0,-5100001.0,0.0,5100001.0,Contact,145,2024,2
137,2.206,2206,Acreedor Comercial-Cuentas Corrientes Comerciales,0.0,535500.0,0.0,535500.0,Contact,71,2024,2
138,2.206,2206,Acreedor Comercial-Cuentas Corrientes Comerciales,0.0,2423000.0,0.0,2423000.0,Contact,105,2024,2
139,2.206,2206,Acreedor Comercial-Cuentas Corrientes Comerciales,0.0,119000.0,0.0,119000.0,Contact,114,2024,2
140,2.206,2206,Acreedor Comercial-Cuentas Corrientes Comerciales,0.0,145327.56,0.0,145327.56,Contact,117,2024,2
141,2.404,2404,Impuesto Sobre Las Ventas,0.0,570000.0,0.0,570000.0,Contact,1,2024,2
142,2.404,2404,Impuesto Sobre Las Ventas,0.0,9500.0,0.0,9500.0,Contact,13,2024,2
143,2.404,2404,Impuesto Sobre Las Ventas,0.0,23940.0,0.0,23940.0,Contact,34,2024,2
144,2.404,2404,Impuesto Sobre Las Ventas,0.0,47500.0,0.0,47500.0,Contact,42,2024,2
145,2.404,2404,Impuesto Sobre Las Ventas,0.0,-85500.0,85500.0,0.0,Contact,71,2024,2
146,2.404,2404,Impuesto Sobre Las Ventas,0.0,9500.0,0.0,9500.0,Contact,80,2024,2
147,2.404,2404,Impuesto Sobre Las Ventas,0.0,-19000.0,19000.0,0.0,Contact,114,2024,2
148,2.404,2404,Impuesto Sobre Las Ventas,0.0,-23203.56,23203.56,0.0,Contact,117,2024,2
149,2.404,2404,Impuesto Sobre Las Ventas,0.0,1235.23,0.0,1235.23,Contact,138,2024,2
150,2.404,2404,Impuesto Sobre Las Ventas,0.0,78945.0,0.0,78945.0,Contact,142,2024,2
151,2.404,2404,Impuesto Sobre Las Ventas,0.0,332500.0,0.0,332500.0,Contact,145,2024,2
152,2.422,2422,Retenciones En La Fuente,0.0,-45000.0,45000.0,0.0,Contact,1,2024,2
153,2.422,2422,Retenciones En La Fuente,0.0,-127500.0,127500.0,0.0,Contact,142,2024,2
154,4.107,4107,Comercio Al Por Mayor Y Al Por Menor,0.0,3000000.0,0.0,3000000.0,Contact,1,2024,2
155,4.107,4107,Comercio Al Por Mayor Y Al Por Menor,0.0,50000.0,0.0,50000.0,Contact,13,2024,2
156,4.107,4107,Comercio Al Por Mayor Y Al Por Menor,0.0,1000.0,0.0,1000.0,Contact,34,2024,2
157,4.107,4107,Comercio Al Por Mayor Y Al Por Menor,0.0,50000.0,0.0,50000.0,Contact,80,2024,2
158,4.107,4107,Comercio Al Por Mayor Y Al Por Menor,0.0,157501.19,0.0,157501.19,Contact,138,2024,2
159,4.107,4107,Comercio Al Por Mayor Y Al Por Menor,0.0,315500.0,0.0,315500.0,Contact,142,2024,2
160,4.107,4107,Comercio Al Por Mayor Y Al Por Menor,0.0,1613600.0,0.0,1613600.0,Contact,145,2024,2
161,4.118,4118,Servicios,0.0,125000.0,0.0,125000.0,Contact,34,2024,2
162,4.118,4118,Servicios,0.0,5502001.0,0.0,5502001.0,Contact,42,2024,2
163,4.118,4118,Servicios,0.0,470000.0,0.0,470000.0,Contact,80,2024,2
164,4.118,4118,Servicios,0.0,309000.0,0.0,309000.0,Contact,138,2024,2
165,4.118,4118,Servicios,0.0,5200000.0,0.0,5200000.0,Contact,142,2024,2
166,4.118,4118,Servicios,0.0,5250000.0,0.0,5250000.0,Contact,145,2024,2
167,6.107,6107,Comercio Al Por Mayor Y Al Por Menor,0.0,20000.0,20000.0,0.0,Contact,1,2024,2
168,6.107,6107,Comercio Al Por Mayor Y Al Por Menor,0.0,55769.230769,55769.230769,0.0,Contact,13,2024,2
169,6.107,6107,Comercio Al Por Mayor Y Al Por Menor,0.0,122122.0,122122.0,0.0,Contact,34,2024,2
170,6.107,6107,Comercio Al Por Mayor Y Al Por Menor,0.0,5352002.0,5352002.0,0.0,Contact,42,2024,2
171,6.107,6107,Comercio Al Por Mayor Y Al Por Menor,0.0,520000.0,520000.0,0.0,Contact,80,2024,2
172,6.107,6107,Comercio Al Por Mayor Y Al Por Menor,0.0,737621.0,737621.0,0.0,Contact,138,2024,2
173,6.107,6107,Comercio Al Por Mayor Y Al Por Menor,0.0,5312502.0,5312502.0,0.0,Contact,142,2024,2
174,6.107,6107,Comercio Al Por Mayor Y Al Por Menor,0.0,5310001.0,5310001.0,0.0,Contact,145,2024,2
175,1.10101,110101,Caja General,0.0,3525000.0,3525000.0,0.0,Contact,1,2024,2
176,1.10101,110101,Caja General,0.0,59500.0,59500.0,0.0,Contact,13,2024,2
177,1.10101,110101,Caja General,0.0,4972500.0,4972500.0,0.0,Contact,142,2024,2
178,1.30101,130101,Nacionales,0.0,-3570000.0,0.0,3570000.0,Contact,1,2024,2
179,1.30101,130101,Nacionales,0.0,3570000.0,3570000.0,0.0,Contact,1,2024,2
180,1.30101,130101,Nacionales,0.0,-59500.0,0.0,59500.0,Contact,13,2024,2
181,1.30101,130101,Nacionales,0.0,59500.0,59500.0,0.0,Contact,13,2024,2
182,1.30101,130101,Nacionales,0.0,149940.0,149940.0,0.0,Contact,34,2024,2
183,1.30101,130101,Nacionales,0.0,5549501.0,5549501.0,0.0,Contact,42,2024,2
184,1.30101,130101,Nacionales,0.0,529500.0,529500.0,0.0,Contact,80,2024,2
185,1.30101,130101,Nacionales,0.0,467736.42,467736.42,0.0,Contact,138,2024,2
186,1.30101,130101,Nacionales,0.0,-5100000.0,0.0,5100000.0,Contact,142,2024,2
187,1.30101,130101,Nacionales,0.0,5594445.0,5594445.0,0.0,Contact,142,2024,2
188,1.30101,130101,Nacionales,0.0,7196100.0,7196100.0,0.0,Contact,145,2024,2
189,1.40801,140801,Mercancías no fabricadas por la empresa,0.0,-20000.0,0.0,20000.0,Contact,1,2024,2
190,1.40801,140801,Mercancías no fabricadas por la empresa,0.0,-55769.230769,0.0,55769.230769,Contact,13,2024,2
191,1.40801,140801,Mercancías no fabricadas por la empresa,0.0,-122121.0,0.0,122121.0,Contact,34,2024,2
192,1.40801,140801,Mercancías no fabricadas por la empresa,0.0,450000.0,450000.0,0.0,Contact,71,2024,2
